Appid,name,header_image,,developer,,,,categories,genres,steamspy_tags,,positive_ratings,negative_ratings,,median_playtime,,price
381640,Allods Online RU,https://steamcdn-a.akamaihd.net/steam/apps/381640/header.jpg?t=1555324531,,IT Territory,,,,MMO;Steam Trading Cards;In-App Purchases,Free to Play;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;RPG,,423,288,,9,,0
439370,Midair,https://steamcdn-a.akamaihd.net/steam/apps/439370/header.jpg?t=1525378140,,Archetype Studios,,,,Multi-player;Online Multi-Player;Stats,Action;Free to Play;Indie;Massively Multiplayer,Action;Free to Play;Indie,,423,353,,67,,0
224980,Tomb Raider IV: The Last Revelation,https://steamcdn-a.akamaihd.net/steam/apps/224980/header.jpg?t=1556061675,,Core Design,,,,Single-player,Action;Adventure,Adventure;Action;Female Protagonist,,422,64,,20,,4.99
6840,Commandos 3: Destination Berlin,https://steamcdn-a.akamaihd.net/steam/apps/6840/header.jpg?t=1548865256,,Pyro Studios,,,,Single-player;Multi-player;Co-op,Action,Strategy;Action;Tactical,,421,265,,20,,3.99
206690,iBomber Defense Pacific,https://steamcdn-a.akamaihd.net/steam/apps/206690/header.jpg?t=1447355344,,Cobra Mobile,,,,Single-player,Casual;Indie;Strategy,Tower Defense;Strategy;Casual,,421,84,,108,,2.99
318970,StarCrawlers,https://steamcdn-a.akamaihd.net/steam/apps/318970/header.jpg?t=1509112468,,Juggernaut Games,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,RPG;Dungeon Crawler;Indie,,421,72,,0,,14.99
7620,Railroad Tycoon II Platinum,https://steamcdn-a.akamaihd.net/steam/apps/7620/header.jpg?t=1526518135,,PopTop,,,,Single-player,Strategy,Strategy;Management;Trains,,420,82,,1261,,2.99
351470,Sometimes: Success Requires Sacrifice,https://steamcdn-a.akamaihd.net/steam/apps/351470/header.jpg?t=1447369439,,NodziGames,,,,Single-player;Steam Trading Cards;Partial Controller Support,Action;Adventure;Casual;Indie;Strategy,Casual;Indie;Action,,420,143,,293,,0.79
260570,Gray Matter,https://steamcdn-a.akamaihd.net/steam/apps/260570/header.jpg?t=1447359240,,WizarBox Production,,,,Single-player;Steam Trading Cards,Adventure;Casual,Adventure;Point & Click;Female Protagonist,,419,47,,0,,6.99
286120,QuestRun,https://steamcdn-a.akamaihd.net/steam/apps/286120/header.jpg?t=1447360792,,Cuve Games,,,,Single-player;Steam Achievements;Stats,RPG,RPG;Casual;Indie,,419,355,,486,,2.09
423890,Gods and Idols,https://steamcdn-a.akamaihd.net/steam/apps/423890/header.jpg?t=1501592744,,Viking Tao,,,,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op,Free to Play;Massively Multiplayer;RPG;Strategy;Early Access,Early Access;Free to Play;Strategy,,419,183,,1,,0
441050,Polandball: Can into Space!,https://steamcdn-a.akamaihd.net/steam/apps/441050/header.jpg?t=1548251969,,Alien Pixel Studios,,,,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;RPG,Memes;Casual;Indie,,418,19,,0,,1.99
2390,Heretic: Shadow of the Serpent Riders,https://steamcdn-a.akamaihd.net/steam/apps/2390/header.jpg?t=1447351107,,Raven Software,,,,Single-player;Multi-player;Steam Cloud,Action,Classic;Action;FPS,,417,29,,0,,2.99
7660,X-COM: Apocalypse,https://steamcdn-a.akamaihd.net/steam/apps/7660/header.jpg?t=1531947508,,"MicroProse Software, Inc",,,,Single-player,Strategy,Strategy;Turn-Based;Tactical,,417,53,,18,,2.99
400940,Budget Cuts,https://steamcdn-a.akamaihd.net/steam/apps/400940/header.jpg?t=1551378211,,Neat Corporation,,,,Single-player;VR Support,Action;Adventure;Indie,VR;Action;Adventure,,417,134,,0,,22.99
406090,Lost Moon,https://steamcdn-a.akamaihd.net/steam/apps/406090/header.jpg?t=1531079529,,Thorngames,,,,Single-player;Full controller support;Steam Trading Cards,Indie;Early Access,Early Access;Indie;Platformer,,417,167,,345,,1.69
399790,Destiny Warriors RPG,https://steamcdn-a.akamaihd.net/steam/apps/399790/header.jpg?t=1492975596,,ninjalex,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,RPGMaker;Anime;RPG,,416,439,,360,,1.59
402130,FlatOut 4: Total Insanity,https://steamcdn-a.akamaihd.net/steam/apps/402130/header.jpg?t=1520347450,,Kylotonn,,,,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Racing,Racing;Multiplayer;Action,,416,393,,0,,22.99
467520,Power & Revolution,https://steamcdn-a.akamaihd.net/steam/apps/467520/header.jpg?t=1515589969,,Eversim,,,,Steam Achievements,Simulation;Strategy,Strategy;Simulation;Politics,,416,372,,0,,39.99
259510,Shufflepuck Cantina Deluxe,https://steamcdn-a.akamaihd.net/steam/apps/259510/header.jpg?t=1478075822,,Agharta Studio,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Sports,Sports;Indie;Action,,415,75,,352,,7.19
266150,Lost Saga NA,https://steamcdn-a.akamaihd.net/steam/apps/266150/header.jpg?t=1542229401,,IO Entertainment,,,,Multi-player;Steam Achievements;Steam Trading Cards,Action;Casual;Free to Play,Free to Play;Anime;Action,,415,281,,53,,0
217790,Dogfight 1942,https://steamcdn-a.akamaihd.net/steam/apps/217790/header.jpg?t=1551951738,,City Interactive,,,,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support,Simulation,Simulation;Flight;World War II,,414,165,,0,,6.99
263680,Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,https://steamcdn-a.akamaihd.net/steam/apps/263680/header.jpg?t=1518248214,,Semaphore,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Adventure;Action;Indie,,414,366,,0,,3.99
319140,Xeodrifter™,https://steamcdn-a.akamaihd.net/steam/apps/319140/header.jpg?t=1505118408,,Renegade Kid,,,,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Indie,Action;Indie;Metroidvania,,414,150,,0,,6.99
340810,Deepworld,https://steamcdn-a.akamaihd.net/steam/apps/340810/header.jpg?t=1545512077,,Bytebin,,,,MMO;Cross-Platform Multiplayer,Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,Early Access;Free to Play;Massively Multiplayer,,414,296,,655,,0
402560,Tabletopia,https://steamcdn-a.akamaihd.net/steam/apps/402560/header.jpg?t=1553467214,,Tabletopia Inc.,,,,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;In-App Purchases,Casual;Free to Play;Indie;RPG;Simulation;Strategy,Board Game;Free to Play;Simulation,,414,321,,113,,0
410430,Morphine,https://steamcdn-a.akamaihd.net/steam/apps/410430/header.jpg?t=1480627221,,Kerim Kumbasar,,,,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Horror,,414,138,,0,,1.99
489380,QuiVr,https://steamcdn-a.akamaihd.net/steam/apps/489380/header.jpg?t=1535762408,,Blueteak,,,,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;SteamVR Collectibles,Action;Casual;Indie;Simulation,Action;Simulation;VR,,414,35,,0,,14.99
233350,Sudeki,https://steamcdn-a.akamaihd.net/steam/apps/233350/header.jpg?t=1447357511,,Climax Studios,,,,Single-player;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud,Action;Adventure;RPG,RPG;Adventure;Action,,413,70,,217,,4.99
284730,Dark Arcana: The Carnival,https://steamcdn-a.akamaihd.net/steam/apps/284730/header.jpg?t=1530538699,,Artifex Mundi,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Hidden Object;Adventure;Casual,,413,45,,259,,6.99
292990,NOBUNAGA'S AMBITION: Souzou (Traditional Chinese version),https://steamcdn-a.akamaihd.net/steam/apps/292990/header.jpg?t=1550179336,,"KOEI TECMO GAMES CO., LTD.",,,,Single-player;Steam Cloud,Strategy,Strategy;Historical,,413,74,,0,,17.99
457760,The Signal From Tölva,https://steamcdn-a.akamaihd.net/steam/apps/457760/header.jpg?t=1522430832,,Big Robot Ltd,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Action;Robots;Open World,,413,190,,0,,14.99
33520,Tropico Reloaded,https://steamcdn-a.akamaihd.net/steam/apps/33520/header.jpg?t=1551637453,,PopTop Software;BreakAway Games;Frog City Software,,,,Single-player,Simulation;Strategy,Simulation;City Builder;Strategy,,412,60,,0,,5.99
57200,Puzzle Dimension,https://steamcdn-a.akamaihd.net/steam/apps/57200/header.jpg?t=1481198545,,Doctor Entertainment AB,,,,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie,Puzzle;Indie;Casual,,412,41,,8,,1.99
246070,Hack 'n' Slash,https://steamcdn-a.akamaihd.net/steam/apps/246070/header.jpg?t=1479170887,,Double Fine Productions,,,,Single-player;Full controller support;Steam Workshop;Steam Cloud,Adventure;Casual;Indie,Adventure;Indie;Hacking,,412,348,,46,,9.99
269330,Chronology,https://steamcdn-a.akamaihd.net/steam/apps/269330/header.jpg?t=1536831347,,Bedtime Digital Games,,,,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Platformer,,412,59,,192,,3.99
327880,Sublevel Zero Redux,https://steamcdn-a.akamaihd.net/steam/apps/327880/header.jpg?t=1499965576,,Sigtrap,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Indie,Indie;Action;Rogue-lite,,412,49,,0,,10.99
418950,DreadOut: Keepers of The Dark,https://steamcdn-a.akamaihd.net/steam/apps/418950/header.jpg?t=1532074540,,Digital Happiness,,,,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Nudity;Violent;Gore;Adventure;Indie,Horror;Female Protagonist;Indie,,412,102,,159,,4.99
209520,Mini Motor Racing EVO,https://steamcdn-a.akamaihd.net/steam/apps/209520/header.jpg?t=1533001158,,The Binary Mill,,,,Single-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie;Racing,Racing;Indie;Casual,,411,224,,121,,3.99
33130,Zombie Shooter,https://steamcdn-a.akamaihd.net/steam/apps/33130/header.jpg?t=1552378497,,Sigma Team Inc.,,,,Single-player,Action;Indie;RPG,Action;Zombies;RPG,,410,73,,137,,3.99
288140,Jack Nicklaus Perfect Golf,https://steamcdn-a.akamaihd.net/steam/apps/288140/header.jpg?t=1476114959,,PERFECT PARALLEL,,,,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Workshop;In-App Purchases;Steam Cloud;Includes level editor,Indie;Simulation;Sports;Strategy,Golf;Simulation;Sports,,410,264,,0,,26.99
319250,Magicmaker,https://steamcdn-a.akamaihd.net/steam/apps/319250/header.jpg?t=1467583700,,Tasty Stewdios LLC,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie;RPG,Adventure;Indie;RPG,,410,42,,0,,6.99
407230,Legend of Mysteria RPG,https://steamcdn-a.akamaihd.net/steam/apps/407230/header.jpg?t=1492976179,,Labyrinthine,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Adventure;Indie;RPG,Anime;RPG;RPGMaker,,410,182,,175,,1.59
431260,Cursed,https://steamcdn-a.akamaihd.net/steam/apps/431260/header.jpg?t=1482755001,,Jetdogs Studios,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,,410,106,,0,,3.99
464450,DoDonPachi Resurrection,https://steamcdn-a.akamaihd.net/steam/apps/464450/header.jpg?t=1489714794,,"CAVE Interactive CO.,LTD.",,,,Single-player;Local Multi-Player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Bullet Hell;Shoot 'Em Up;Action,,410,16,,51,,22.99
493540,Figment,https://steamcdn-a.akamaihd.net/steam/apps/493540/header.jpg?t=1551787703,,Bedtime Digital Games,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie,Indie;Action;Adventure,,410,74,,516,,14.99
498660,Mind Spheres,https://steamcdn-a.akamaihd.net/steam/apps/498660/header.jpg?t=1532060343,,Microblast Games,,,,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Sports,Indie;Casual;Sports,,410,103,,274,,0.79
240600,MotoGP™13,https://steamcdn-a.akamaihd.net/steam/apps/240600/header.jpg?t=1489746891,,Milestone S.r.l.,,,,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud,Racing;Simulation;Sports,Racing;Sports;Simulation,,409,166,,0,,6.99
251770,Shadow Man,https://steamcdn-a.akamaihd.net/steam/apps/251770/header.jpg?t=1466791144,,Acclaim Studios Teeside,,,,Single-player,Action,Action;Horror;Cult Classic,,409,55,,48,,3.99
257050,Darkout,https://steamcdn-a.akamaihd.net/steam/apps/257050/header.jpg?t=1490226498,,Allgraf,,,,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie,Sandbox;Indie;Crafting,,409,388,,283,,9.99
415030,One More Dungeon,https://steamcdn-a.akamaihd.net/steam/apps/415030/header.jpg?t=1474888842,,Stately Snail,,,,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie;RPG,RPG;Dungeon Crawler;Rogue-like,,409,117,,80,,3.99
267360,MURI,https://steamcdn-a.akamaihd.net/steam/apps/267360/header.jpg?t=1453388569,,Ludosity;Remar Games,,,,Single-player;Steam Trading Cards;Partial Controller Support,Action,Action;Platformer;Retro,,408,39,,142,,3.99
320540,Coffin Dodgers,https://steamcdn-a.akamaihd.net/steam/apps/320540/header.jpg?t=1532687308,,Milky Tea Studios,,,,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie;Racing,Racing;Action;Indie,,408,178,,0,,8.99
340070,Battle Ranch: Pigs vs Plants,https://steamcdn-a.akamaihd.net/steam/apps/340070/header.jpg?t=1492975230,,Playboom,,,,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy,Indie;Casual;Strategy,,408,411,,309,,0.79
268990,The Dishwasher: Vampire Smile,https://steamcdn-a.akamaihd.net/steam/apps/268990/header.jpg?t=1543244263,,Ska Studios,,,,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Indie,Action;Indie;Hack and Slash,,407,23,,0,,6.99
269190,Edge Of Eternity,https://steamcdn-a.akamaihd.net/steam/apps/269190/header.jpg?t=1556092053,,Midgar Studio,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,RPG;Early Access,Early Access;RPG;JRPG,,407,88,,0,,15.49
454540,LuckCatchers,https://steamcdn-a.akamaihd.net/steam/apps/454540/header.jpg?t=1551868386,,DiP Online,,,,MMO;In-App Purchases,Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy,Free to Play;Massively Multiplayer;RPG,,407,338,,4,,0
495110,Enigmatis 3: The Shadow of Karkhala,https://steamcdn-a.akamaihd.net/steam/apps/495110/header.jpg?t=1512040933,,Artifex Mundi,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Hidden Object;Adventure;Casual,,407,33,,0,,6.99
62000,Flight Control HD,https://steamcdn-a.akamaihd.net/steam/apps/62000/header.jpg?t=1447353739,,Firemint,,,,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Casual,Casual;Action;Arcade,,406,36,,85,,2.99
420930,CHKN,https://steamcdn-a.akamaihd.net/steam/apps/420930/header.jpg?t=1554490934,,Katapult,,,,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Workshop;Partial Controller Support,Adventure;Casual;Indie;Early Access,Early Access;Sandbox;Adventure,,406,100,,0,,10.99
454910,Twin Saga,https://steamcdn-a.akamaihd.net/steam/apps/454910/header.jpg?t=1505155835,,X-Legend,,,,MMO;Steam Trading Cards;In-App Purchases,Free to Play;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;Anime,,406,182,,1066,,0
47800,RISK™: Factions,https://steamcdn-a.akamaihd.net/steam/apps/47800/header.jpg?t=1447353990,,Stainless Games,,,,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Strategy,Strategy;Board Game;Multiplayer,,405,214,,1754,,7.99
310890,Breach & Clear: Deadline Rebirth (2016),https://steamcdn-a.akamaihd.net/steam/apps/310890/header.jpg?t=1505118697,,Mighty Rabbit Studios;Gun Media,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Indie;RPG;Strategy,Zombies;Strategy;Action,,405,365,,11,,6.99
364690,SUPER DISTRO,https://steamcdn-a.akamaihd.net/steam/apps/364690/header.jpg?t=1447372966,,KITATUS STUDIOS,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie,Indie;Action;Adventure,,405,687,,153,,0.79
6810,Commandos: Beyond the Call of Duty,https://steamcdn-a.akamaihd.net/steam/apps/6810/header.jpg?t=1548865190,,Pyro Studios,,,,Single-player;Multi-player;Co-op,Action,Action;Strategy;Tactical,,404,71,,14,,3.99
40980,Stronghold Legends: Steam Edition,https://steamcdn-a.akamaihd.net/steam/apps/40980/header.jpg?t=1548158909,,FireFly Studios,,,,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Simulation;Strategy,Strategy;Simulation;Medieval,,404,123,,519,,11.99
449530,Grand Pigeon's Duty,https://steamcdn-a.akamaihd.net/steam/apps/449530/header.jpg?t=1555492811,,WolfgangIs,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie;RPG;Simulation;Strategy,Indie;Casual;Action,,404,102,,292,,2.89
299660,6180 the moon,https://steamcdn-a.akamaihd.net/steam/apps/299660/header.jpg?t=1517675281,,Turtle Cream;PokPoong Games,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Indie;Action;Casual,,403,38,,0,,2.79
319970,The Detail,https://steamcdn-a.akamaihd.net/steam/apps/319970/header.jpg?t=1529997401,,Rival Games Ltd,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats,Adventure;Indie,Adventure;Indie;Point & Click,,403,143,,289,,2.09
334540,Vox Machinae,https://steamcdn-a.akamaihd.net/steam/apps/334540/header.jpg?t=1545278912,,Space Bullet Dynamics Corporation,,,,Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;VR Support,Action;Indie;Simulation;Early Access,Early Access;Action;Indie,,403,33,,0,,19.49
15500,The Wonderful End of the World,https://steamcdn-a.akamaihd.net/steam/apps/15500/header.jpg?t=1447351339,,"Dejobaan Games, LLC",,,,Single-player;Steam Achievements;Partial Controller Support,Indie;Casual,Indie;Casual;Action,,402,135,,0,,6.99
98100,Trauma,https://steamcdn-a.akamaihd.net/steam/apps/98100/header.jpg?t=1447354498,,Krystian Majewski,,,,Single-player,Adventure;Indie;Casual,Indie;Adventure;Casual,,402,182,,7,,4.39
301320,NoLimits 2 Roller Coaster Simulation,https://steamcdn-a.akamaihd.net/steam/apps/301320/header.jpg?t=1526128910,,Ole Lange,,,,Single-player;VR Support;Steam Workshop;Partial Controller Support,Indie;Simulation,Simulation;Realistic;VR,,402,43,,9,,27.99
293240,Cosmochoria,https://steamcdn-a.akamaihd.net/steam/apps/293240/header.jpg?t=1461697712,,Nate Schmold,,,,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;Indie;Strategy,Action;Indie;Adventure,,401,44,,139,,6.99
470600,Video blogger Story,https://steamcdn-a.akamaihd.net/steam/apps/470600/header.jpg?t=1517339115,,5Wolf,,,,Single-player;Steam Achievements;Steam Trading Cards,Simulation;Early Access,Early Access;Simulation;Story Rich,,401,256,,275,,3.19
70620,Worms Crazy Golf,https://steamcdn-a.akamaihd.net/steam/apps/70620/header.jpg?t=1448452655,,Team17 Digital Ltd,,,,Single-player;Steam Achievements;Partial Controller Support,Sports;Strategy,Sports;Strategy;Golf,,400,88,,89,,6.99
341550,Super Cyborg,https://steamcdn-a.akamaihd.net/steam/apps/341550/header.jpg?t=1478245167,,Artur Games;Music by Darkman007,,,,Single-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Retro,,400,45,,0,,3.99
396350,Bleed 2,https://steamcdn-a.akamaihd.net/steam/apps/396350/header.jpg?t=1518384637,,Ian Campbell,,,,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Shoot 'Em Up,,400,21,,278,,6.99
48950,Greed Corp,https://steamcdn-a.akamaihd.net/steam/apps/48950/header.jpg?t=1447353781,,Vanguard Games,,,,Single-player;Multi-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Strategy,Strategy;Turn-Based;Multiplayer,,399,68,,49,,6.99
63940,Men of War: Vietnam,https://steamcdn-a.akamaihd.net/steam/apps/63940/header.jpg?t=1552494954,,1C Entertainment,,,,Single-player;Multi-player;Co-op;Steam Cloud;Includes level editor,Strategy,Strategy;RTS;Tactical,,399,247,,10,,5.59
301610,openCanvas 6,https://steamcdn-a.akamaihd.net/steam/apps/301610/header.jpg?t=1497937241,,PGN Inc,,,,Single-player;Steam Trading Cards,Design & Illustration;Photo Editing,Design & Illustration;Photo Editing;Software,,399,60,,150,,29.99
353550,House of Caravan,https://steamcdn-a.akamaihd.net/steam/apps/353550/header.jpg?t=1492974493,,Rosebud Games,,,,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support,Adventure;Indie,Indie;Adventure;Horror,,399,186,,237,,1.59
328500,Potatoman Seeks the Troof,https://steamcdn-a.akamaihd.net/steam/apps/328500/header.jpg?t=1450301981,,Pixeljam,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Indie,Indie;Platformer;Pixel Graphics,,398,142,,365,,2.79
363330,Mind Snares: Alice's Journey,https://steamcdn-a.akamaihd.net/steam/apps/363330/header.jpg?t=1530538923,,World-Loom,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Hidden Object;Casual;Adventure,,398,55,,0,,6.99
444220,Asteroid Bounty Hunter,https://steamcdn-a.akamaihd.net/steam/apps/444220/header.jpg?t=1483476240,,Just1337 Studio,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Casual;Indie;RPG,Action;Indie;Casual,,398,190,,175,,4.99
363790,Egg Returns Home,https://steamcdn-a.akamaihd.net/steam/apps/363790/header.jpg?t=1470926744,,PigelPix,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie,Indie;Platformer;2D,,397,107,,736,,0.79
398100,Highschool Romance,https://steamcdn-a.akamaihd.net/steam/apps/398100/header.jpg?t=1548504334,,Chronofire Arts,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie,Nudity;Visual Novel;Anime,,397,97,,429,,10.29
273840,Stock Car Extreme,https://steamcdn-a.akamaihd.net/steam/apps/273840/header.jpg?t=1447360134,,Reiza Studios,,,,Single-player;Multi-player;Partial Controller Support,Racing;Simulation;Sports,Racing;Simulation;Sports,,396,66,,0,,10.99
312210,The Fifth Day,https://steamcdn-a.akamaihd.net/steam/apps/312210/header.jpg?t=1447362555,,Touz,,,,Single-player;Multi-player,Action;Adventure;Indie;Early Access,Early Access;Survival;Open World,,395,474,,42,,10.99
366870,Narcosis,https://steamcdn-a.akamaihd.net/steam/apps/366870/header.jpg?t=1531522061,,"Honor Code, Inc.",,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Cloud,Adventure;Indie,Adventure;Indie;Horror,,395,95,,0,,11.39
18000,"Precipice of Darkness, Episode One",https://steamcdn-a.akamaihd.net/steam/apps/18000/header.jpg?t=1447351344,,Hothead Games,,,,Single-player;Steam Achievements,Adventure;RPG,RPG;Adventure;Comedy,,394,42,,7,,5.99
347670,Karate Master 2 Knock Down Blow,https://steamcdn-a.akamaihd.net/steam/apps/347670/header.jpg?t=1549959746,,Crian Soft,,,,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie;RPG;Sports,Sports;Action;RPG,,394,74,,189,,7.99
457320,HoloBall,https://steamcdn-a.akamaihd.net/steam/apps/457320/header.jpg?t=1511896157,,TreeFortress Games,,,,Single-player;Online Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Indie;Sports,Action;Sports;Indie,,394,36,,0,,10.99
286320,Oknytt,https://steamcdn-a.akamaihd.net/steam/apps/286320/header.jpg?t=1447360799,,Nemoria Entertainment,,,,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Point & Click,,393,32,,333,,3.99
279440,Joe Dever's Lone Wolf HD Remastered,https://steamcdn-a.akamaihd.net/steam/apps/279440/header.jpg?t=1486406889,,Forge Reply srl,,,,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,Adventure;Indie;RPG,RPG;Adventure;Indie,,392,131,,0,,10.99
397500,Labyronia RPG 2,https://steamcdn-a.akamaihd.net/steam/apps/397500/header.jpg?t=1492976008,,Labyrinthine,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Adventure;Indie;RPG,Anime;RPGMaker;RPG,,391,129,,210,,0.79
405950,Lowglow,https://steamcdn-a.akamaihd.net/steam/apps/405950/header.jpg?t=1475757558,,Rockodile,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Indie;Adventure;Casual,,391,31,,310,,5.59
464620,Siralim 2,https://steamcdn-a.akamaihd.net/steam/apps/464620/header.jpg?t=1511313437,,Thylacine Studios,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Indie;RPG,RPG;Indie;Pixel Graphics,,391,29,,0,,11.39
314030,Guilty Gear X2 #Reload,https://steamcdn-a.akamaihd.net/steam/apps/314030/header.jpg?t=1483724562,,Arc System Works,,,,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Fighting;2D Fighter;Great Soundtrack,,390,47,,338,,7.99
329460,JumpJet Rex,https://steamcdn-a.akamaihd.net/steam/apps/329460/header.jpg?t=1450395777,,TreeFortress Games,,,,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Indie;Racing,Indie;Platformer;Action,,390,40,,26,,6.99
